Metric,Value
Total Junctions,92.0
Total Path Segments,53.0
Mean Path Length (µm),0.825
Max Path Length (µm),3.404
Min Path Length (µm),0.093
µm per pixel (used),0.093109
Dilation radius (px),6.0
Head kept for fit (%),100.0
Min branch used (µm),0.0
