Metric,Value
Total Junctions,56.0
Total Path Segments,26.0
Mean Path Length (µm),1.062
Max Path Length (µm),3.106
Min Path Length (µm),0.179
µm per pixel (used),0.089266
Dilation radius (px),6.0
Head kept for fit (%),100.0
Min branch used (µm),0.0
