Metric,Value
Total Junctions,422.0
Total Path Segments,207.0
Mean Path Length (µm),0.945
Max Path Length (µm),3.624
Min Path Length (µm),0.093
µm per pixel (used),0.093156
Dilation radius (px),6.0
Head kept for fit (%),100.0
Min branch used (µm),0.0
