Metric,Value
Total Junctions,54.0
Total Path Segments,29.0
Mean Path Length (µm),0.99
Max Path Length (µm),5.38
Min Path Length (µm),0.086
µm per pixel (used),0.085672
Dilation radius (px),6.0
Head kept for fit (%),100.0
Min branch used (µm),0.0
