Metric,Value
Total Junctions,57.0
Total Path Segments,34.0
Mean Path Length (µm),0.822
Max Path Length (µm),3.901
Min Path Length (µm),0.089
µm per pixel (used),0.089203
Dilation radius (px),6.0
Head kept for fit (%),100.0
Min branch used (µm),0.0
