Metric,Value
Total Junctions,46.0
Total Path Segments,24.0
Mean Path Length (µm),0.972
Max Path Length (µm),4.322
Min Path Length (µm),0.089
µm per pixel (used),0.089141
Dilation radius (px),6.0
Head kept for fit (%),100.0
Min branch used (µm),0.0
