metric,mean,ci95_low,ci95_high,n_tiles
f1_dice,0.12620778121689977,0.07527682942679474,0.18133298817915436,81
iou_jaccard,0.09275507875019606,0.0529921133083757,0.14061079859142753,81
precision,0.21274322773125554,0.13792516827487344,0.29399130582776195,81
recall,0.11164047516006445,0.06273905359407543,0.16085259212462322,81
specificity,0.9643731427779996,0.9391595602588836,0.9840464514052496,81
balanced_accuracy,0.538006808969032,0.5200296204637455,0.5579329620284394,81
accuracy,0.6918915171682098,0.6635814525462963,0.7185124150028935,81
mcc,0.09496363148710849,0.05375426449039005,0.13877213560016194,81
