metric,mean,ci95_low,ci95_high,n_tiles
f1_dice,0.6631220912961521,0.6227751296303222,0.6986995682525534,81
iou_jaccard,0.5184684377514674,0.47868417571477906,0.553033253761194,81
precision,0.5721031339632774,0.526931309309213,0.6167987644754264,81
recall,0.8963719545171189,0.8685786198363813,0.9212733047631173,81
specificity,0.5917596414294172,0.5296113117888576,0.6495158038545998,81
balanced_accuracy,0.744065797973268,0.7187811055618625,0.7678012392583888,81
accuracy,0.7025402681327161,0.6616797929928626,0.7398723837770061,81
mcc,0.48410902233056674,0.43974452678528886,0.5257481793245119,81
