metric,mean,sd
accuracy,0.6944534866898148,0.10682245417779515
balanced_accuracy,0.74087483828436,0.07259559922577054
f1_dice,0.6282598566643334,0.1560780755298538
iou_jaccard,0.47460634715082084,0.149528309006128
mcc,0.4390955503299414,0.13798051061986416
precision,0.5308304284247619,0.18146542226068146
recall,0.850150057194625,0.10369793851009416
specificity,0.6315996193740948,0.12658872538305577

metric,total
FN_total,16863.0
FP_total,57495.0
TN_total,114141.0
TP_total,77757.0
