metric,mean,ci95_low,ci95_high,n_tiles
f1_dice,0.541360217470064,0.484458472046529,0.5950945410321357,81
iou_jaccard,0.4121915906827277,0.3613602958184926,0.4653523945586535,81
precision,0.7381788851318065,0.6771685962082801,0.7953492648868005,81
recall,0.5380935369189164,0.4645420455530832,0.607040434581106,81
specificity,0.8852684717726632,0.8479156228578231,0.9168678200705153,81
balanced_accuracy,0.7116810043457898,0.6845245565644925,0.7381185333844366,81
accuracy,0.7809244791666666,0.7600433726369599,0.7998423635223766,81
mcc,0.4677137524008189,0.4229149445542065,0.512073268467197,81
