metric,mean,ci95_low,ci95_high,n_tiles
f1_dice,0.6350408793583834,0.6012279842756448,0.6695642606976614,81
iou_jaccard,0.4827291846608828,0.4471940301561841,0.5152820215630323,81
precision,0.6283979829319369,0.5840355011317825,0.6695491540887714,81
recall,0.696161906627257,0.6632805074462914,0.7272696955441713,81
specificity,0.7857215758571428,0.74970736508873,0.8179589413977725,81
balanced_accuracy,0.7409417412421999,0.72152967667121,0.7585036048004671,81
accuracy,0.7564772617669753,0.7291714138454861,0.7787018952546296,81
mcc,0.4696502493929072,0.4335308433835282,0.502781415669313,81
