metric,mean,ci95_low,ci95_high,n_tiles
f1_dice,0.6497001669761423,0.6127216831755149,0.6869230266463418,81
iou_jaccard,0.5026315839601326,0.4660826469762709,0.5403855513117625,81
precision,0.5261900520466392,0.48688103953253475,0.5637886044734686,81
recall,0.9436450709931777,0.9268325254234255,0.9602234011661755,81
specificity,0.5228336194471516,0.464207032828973,0.5775343981448229,81
balanced_accuracy,0.7332393452201648,0.7094679953020936,0.7555184601443359,81
accuracy,0.6710762683256173,0.6304300944010416,0.7078191309799382,81
mcc,0.46060861730859326,0.4187317510729683,0.5004635217973896,81
