metric,mean,sd
accuracy,0.7025402681327161,0.18534321772825985
balanced_accuracy,0.744065797973268,0.11099854635083024
f1_dice,0.6631220912961521,0.17301993217082576
iou_jaccard,0.5184684377514674,0.17810898943074166
mcc,0.48410902233056674,0.19986797754220068
precision,0.5721031339632774,0.20526972004207242
recall,0.8963719545171189,0.127338057233483
specificity,0.5917596414294172,0.28430787160161997

metric,total
FN_total,10170.0
FP_total,58985.0
TN_total,112651.0
TP_total,84450.0
