metric,mean,ci95_low,ci95_high,n_tiles
f1_dice,0.16724382675915617,0.13311261385344159,0.20124656391359283,81
iou_jaccard,0.10011446408697285,0.07884349437430292,0.12392370157277949,81
precision,0.25787115269875105,0.2063134769960334,0.30904408197841104,81
recall,0.15095441354692704,0.11517514277568353,0.1892176305934229,81
specificity,0.859942516208718,0.8272569200534233,0.8910797326329946,81
balanced_accuracy,0.5054484648778225,0.4948520679554664,0.5164640186330666,81
accuracy,0.6246262538580247,0.59377742814429,0.6550545398099922,81
mcc,0.01109646226974851,-0.012492581601670464,0.036767281883632305,81
