metric,mean,sd
accuracy,0.4612841194058642,0.1369725724832777
balanced_accuracy,0.35241334206280356,0.05763087310359017
f1_dice,0.030864185177435454,0.04539985583223211
iou_jaccard,0.016251140338006377,0.025391131523384278
mcc,-0.32364008187538973,0.11670701162734758
precision,0.046109429952758366,0.07058022116109954
recall,0.02574975838824991,0.03943133404114241
specificity,0.6790769257373572,0.1109888720909494

metric,total
FN_total,91659.0
FP_total,60809.0
TN_total,110827.0
TP_total,2961.0
