metric,mean,sd
accuracy,0.6246262538580247,0.1370185240575754
balanced_accuracy,0.5054484648778225,0.04951881549522668
f1_dice,0.16724382675915617,0.16103133709309458
iou_jaccard,0.10011446408697285,0.10253204106037653
mcc,0.01109646226974851,0.11472244341823673
precision,0.25787115269875105,0.24572011206125238
recall,0.15095441354692704,0.16476133358525366
specificity,0.859942516208718,0.14812534559687454

metric,total
FN_total,76928.0
FP_total,30107.0
TN_total,141529.0
TP_total,17692.0
