metric,mean,ci95_low,ci95_high,n_tiles
f1_dice,0.5109503616435779,0.47264529545103695,0.5529037220460706,81
iou_jaccard,0.36430698984237203,0.3273509553899335,0.4007344544830215,81
precision,0.40722886328552027,0.3719063095462831,0.44353727141414856,81
recall,0.7865864651299285,0.727706453956311,0.841690684115795,81
specificity,0.3946294952925855,0.32903292672618134,0.45810457314070596,81
balanced_accuracy,0.5906079802112569,0.5688882828649474,0.6112013699767528,81
accuracy,0.5569058641975309,0.5213468575183255,0.5931548695505401,81
mcc,0.18369468887188317,0.1437925401366084,0.22051911600019927,81
