metric,mean,ci95_low,ci95_high,n_tiles
f1_dice,0.6282598566643334,0.5930536879471465,0.659450898881607,81
iou_jaccard,0.47460634715082084,0.44161969246450267,0.5057308377170527,81
precision,0.5308304284247619,0.4894663444471813,0.5711283113319502,81
recall,0.850150057194625,0.8273308331735681,0.8727985055666353,81
specificity,0.6315996193740948,0.6026172985315669,0.6567724267478593,81
balanced_accuracy,0.74087483828436,0.7244778415197904,0.7560546903213624,81
accuracy,0.6944534866898148,0.6690226990499615,0.715868839216821,81
mcc,0.4390955503299414,0.40890231560874113,0.46813593537494386,81
