metric,mean,ci95_low,ci95_high,n_tiles
f1_dice,0.1380244650690254,0.10129104991465528,0.1769112483670427,81
iou_jaccard,0.08516680909463788,0.06082443143572606,0.11326426028177619,81
precision,0.24090296927726862,0.1834139333832707,0.30233351013416915,81
recall,0.1397442399390352,0.0945623773766901,0.19290919263885695,81
specificity,0.8816310608459209,0.8437159493656208,0.9153836355888868,81
balanced_accuracy,0.510687650392478,0.49543355913075854,0.5294470866395988,81
accuracy,0.6282190393518519,0.5957205313223379,0.658788158275463,81
mcc,0.016161803832938897,-0.016943566904615553,0.050768942600433985,81
