metric,mean,ci95_low,ci95_high,n_tiles
f1_dice,0.030864185177435454,0.02207366203067736,0.041595237076067916,81
iou_jaccard,0.016251140338006377,0.01133231059406629,0.02219649872108628,81
precision,0.046109429952758366,0.0320174689865847,0.06202344998520164,81
recall,0.02574975838824991,0.018462186961224022,0.035039966162009314,81
specificity,0.6790769257373572,0.6548332427194359,0.7053330531672115,81
balanced_accuracy,0.35241334206280356,0.34067361596525303,0.36528997035330685,81
accuracy,0.4612841194058642,0.43123191550925927,0.49165046597704476,81
mcc,-0.32364008187538973,-0.34752224045907637,-0.29679849287674537,81
