xi_um,P_xi
0.0467187501620557,0.0968037926288423
0.0934375003241113,0.120507722893409
0.140156250486167,0.108885150634654
0.186875000648223,0.099250649946475
0.233593750810278,0.0867105061936076
0.280312500972334,0.0651475760819697
0.32703125113439,0.0493959320997094
0.373750001296445,0.051384003670286
0.420468751458501,0.0417495029821074
0.467187501620557,0.0322679308762808
0.513906251782612,0.0339501452821532
0.560625001944668,0.0298210735586481
0.607343752106724,0.0276800734057195
0.654062502268779,0.0252332160880869
0.700781252430835,0.0174338583881327
0.747500002592891,0.0154457868175562
0.794218752754946,0.0113167150940511
0.840937502917002,0.0105520721822909
0.887656253079058,0.0126930723352195
0.934375003241113,0.0114696436764031
0.981093753403169,0.007340571952898
1.02781250356522,0.00535250038232146
1.07453125372728,0.00382321455880104
1.12125000388934,0.00244685731763267
1.16796875405139,0.00397614314115308
1.21468750421345,0.00397614314115308
1.2614062543755,0.00305857164704083
1.30812500453756,0.0018351429882245
1.35484375469961,0.00336442881174492
1.40156250486167,0.00198807157057654
1.44828125502373,0.00152928582352042
1.49500000518578,0.000611714329408166
1.54171875534784,0.000458785747056125
1.58843750550989,0.00091757149411225
1.63515625567195,0.00198807157057654
1.681875005834,0.0018351429882245
1.72859375599606,0.000305857164704083
1.77531250615812,0.000764642911760208
1.82203125632017,0.00107050007646429
1.86875000648223,0.000611714329408166
1.91546875664428,0.00091757149411225
1.96218750680634,0.00198807157057654
2.00890625696839,0.000458785747056125
2.05562500713045,0
2.1023437572925,0.000305857164704083
2.14906250745456,0.000764642911760208
2.19578125761662,0
2.24250000777867,0
2.28921875794073,0
2.33593750810278,0
2.38265625826484,0
2.42937500842689,0
2.47609375858895,0
2.52281250875101,0
2.56953125891306,0
2.61625000907512,0.000611714329408166
