xi_um,P_xi
0.0467187501620557,0.295368261199696
0.0934375003241113,0.361332574031891
0.140156250486167,0.172646165527715
0.186875000648223,0.088078967350038
0.233593750810278,0.045083523158694
0.280312500972334,0.0208807896735004
0.32703125113439,0.00920652999240699
0.373750001296445,0.00503037205770691
0.420468751458501,0.000854214123006834
0.467187501620557,0.000759301442672741
0.513906251782612,0.000379650721336371
0.560625001944668,9.49126803340926e-05
0.607343752106724,9.49126803340926e-05
0.654062502268779,0.000189825360668185
