xi_um,P_xi
0.0467187501620557,0.396423248882265
0.0934375003241113,0.264977645305514
0.140156250486167,0.142771982116244
0.186875000648223,0.0771982116244411
0.233593750810278,0.0471932439145554
0.280312500972334,0.0285146547441629
0.32703125113439,0.0154992548435171
0.373750001296445,0.0102334823646299
0.420468751458501,0.00665673124689518
0.467187501620557,0.00506706408345753
0.513906251782612,0.00228514654744163
0.560625001944668,0.00178837555886736
0.607343752106724,0.000993541977148535
0.654062502268779,9.93541977148535e-05
0.700781252430835,9.93541977148535e-05
0.747500002592891,9.93541977148535e-05
0.794218752754946,0
0.840937502917002,9.93541977148535e-05
