metric,k_groups,H,p_value
f1_dice,10,488.37503626976667,1.7714955142205916e-99
iou_jaccard,10,488.37503626976667,1.7714955142205916e-99
mcc,10,540.7543728477737,1.0679925403810643e-110
precision,10,356.1085326433567,3.1036758253760275e-71
recall,10,575.6665103349899,3.485373745625108e-118
specificity,10,425.82836038502353,4.1954871635678016e-86
balanced_accuracy,10,535.5857881833558,1.368888854828785e-109
accuracy,10,256.9150711611749,3.4555469361124753e-50
