metric,reference,method,n_common,wilcoxon_n_eff,wilcoxon_W,wilcoxon_p_raw,wilcoxon_mode,wilcoxon_p_holm,stars,sign_n,sign_pos,sign_p_raw,sign_p_holm,HL_estimate(ref - method),median_diff(ref - method)
precision,ILASTIK,PLANKSTER,81,81,361.0,9.59189451611866e-10,approx(pratt),1.3428652322566123e-08,***,81,73,2.977302970952647e-14,7.443257427381617e-13,0.11454053989687896,0.11454053989687896
precision,ILASTIK,PORED2,81,81,119.0,4.002956255020111e-13,approx(pratt),1.1608573139558323e-11,***,81,76,2.2643223890053103e-17,7.925128361518586e-16,0.34750320842400617,0.34750320842400617
precision,ILASTIK,SAMJ,75,75,86.0,1.7899987280682287e-13,approx(pratt),5.727995929818332e-12,***,75,69,1.1641661378765454e-14,3.026831958479018e-13,0.6243628950050968,0.6243628950050968
precision,ILASTIK,SEMI,81,81,324.0,3.1692746633070695e-10,approx(pratt),5.387766927622018e-09,***,81,75,2.91096598559025e-16,9.3150911538888e-15,0.20473377635573065,0.20473377635573065
precision,ILASTIK,UNET,81,81,288.0,1.0486801504398054e-10,approx(pratt),1.9924922858356304e-09,***,81,74,3.167382755726581e-15,9.185409991607084e-14,0.19564880920693317,0.19564880920693317
recall,60%,FREEHAND,81,81,0.0,5.253944685618369e-15,approx(pratt),2.311735661672082e-13,***,81,81,8.271806125530277e-25,3.7223127564886245e-23,0.8378033205619412,0.8378033205619412
recall,60%,ILASTIK,76,76,0.0,7.160135719358663e-15,approx(pratt),2.0764393586140121e-13,***,76,76,2.6469779601696886e-23,8.999725064576941e-22,0.4026610644257703,0.4026610644257703
recall,60%,OTSU,81,81,0.0,5.33100105760119e-15,approx(pratt),2.2923304547685117e-13,***,81,81,8.271806125530277e-25,3.639594695233322e-23,0.9530540131246845,0.9530540131246845
recall,60%,OVAL,80,80,2.0,5.852267443000278e-15,approx(pratt),1.9897709306200945e-13,***,80,79,1.3400325923359048e-22,4.0200977770077145e-21,0.9207988980716253,0.9207988980716253
recall,60%,PLANKSTER,78,78,0.0,6.097015081612781e-15,approx(pratt),2.0120149769322177e-13,***,78,78,6.617444900424222e-24,2.3161057151484775e-22,0.2319618366129994,0.2319618366129994
recall,60%,PORED2,67,67,264.0,2.2467457505515557e-10,approx(pratt),3.3701186258273336e-09,***,67,55,1.0273195443541004e-07,1.4382473620957405e-06,0.0826446280991735,0.0826446280991735
recall,60%,SAMJ,81,81,0.0,5.361380316302872e-15,approx(pratt),2.144552126521149e-13,***,81,81,8.271806125530277e-25,3.556876633978019e-23,0.9354838709677419,0.9354838709677419
recall,60%,SEMI,66,66,20.0,8.344047899967679e-14,approx(pratt),1.6688095799935357e-12,***,66,65,1.81603863891322e-18,3.63207727782644e-17,0.031604054859868835,0.031604054859868835
recall,60%,UNET,75,75,466.0,2.4943657022631716e-08,approx(pratt),2.743802272489489e-07,***,75,60,1.5877990745379462e-07,2.06413879689933e-06,0.0915977961432507,0.0915977961432507
specificity,SAMJ,60%,81,81,0.0,5.459123201557926e-15,approx(pratt),2.4020142086854873e-13,***,81,0,8.271806125530277e-25,3.639594695233322e-23,-0.38501799149492966,-0.38501799149492966
specificity,SAMJ,FREEHAND,62,62,369.0,1.4275948139302633e-08,approx(pratt),2.141392220895395e-07,***,62,9,1.0507232717140574e-08,1.8913018890853034e-07,-0.07342342342342345,-0.07342342342342345
specificity,SAMJ,ILASTIK,69,69,580.0,9.099630238673263e-07,approx(pratt),1.182951931027524e-05,***,69,14,6.921916920059638e-07,1.0382875380089457e-05,-0.01637426900584793,-0.01637426900584793
specificity,SAMJ,OTSU,80,80,94.0,1.6956327357096853e-13,approx(pratt),5.256461480700025e-12,***,80,3,1.4128410298528223e-19,5.0862277074701604e-18,-0.3118455497382199,-0.3118455497382199
specificity,SAMJ,OVAL,59,59,523.0,1.5202670367987535e-06,approx(pratt),1.824320444158504e-05,***,59,11,1.2416282261784595e-06,1.7382795166498433e-05,-0.03063063063063065,-0.03063063063063065
specificity,SAMJ,PLANKSTER,80,80,58.0,4.6877264000674576e-14,approx(pratt),1.5938269760229356e-12,***,80,3,1.4128410298528223e-19,4.944943604484878e-18,-0.13921673819742486,-0.13921673819742486
specificity,SAMJ,PORED2,81,81,0.0,5.33100105760119e-15,approx(pratt),2.3989504759205355e-13,***,81,0,8.271806125530277e-25,3.3914405114674135e-23,-0.5520340586565753,-0.5520340586565753
specificity,SAMJ,SEMI,81,81,0.0,5.461940211135383e-15,approx(pratt),2.3486342907882147e-13,***,81,81,8.271806125530277e-25,3.3087224502121107e-23,0.2731958762886598,0.2731958762886598
specificity,SAMJ,UNET,81,81,8.0,7.363329129290615e-15,approx(pratt),2.8716983604233397e-13,***,81,78,7.332294385792548e-20,2.7129489227432427e-18,0.3155444126074498,0.3155444126074498
balanced_accuracy,SEMI,60%,77,77,1017.0,0.0026633879852734567,approx(pratt),0.03462404380855494,*,77,25,0.002799053877277624,0.03638770040460911,-0.013760699866438686,-0.013760699866438686
balanced_accuracy,SEMI,FREEHAND,77,77,13.0,1.0616957222678536e-14,approx(pratt),3.8221046001642733e-13,***,77,1,1.0323214044661785e-21,3.613124915631625e-20,-0.27042663355377805,-0.27042663355377805
balanced_accuracy,SEMI,ILASTIK,81,81,1361.0,0.15919739538424482,approx(pratt),1.0,,81,35,0.2664123096713203,1.0,-0.05978478895269268,-0.05978478895269268
balanced_accuracy,SEMI,OTSU,80,80,5.0,6.707676617235387e-15,approx(pratt),2.7501474130665086e-13,***,80,1,1.3400325923359048e-22,4.958120591642848e-21,-0.4259188704616764,-0.4259188704616764
balanced_accuracy,SEMI,OVAL,79,79,98.0,2.021380224520425e-13,approx(pratt),4.85131253884902e-12,***,79,4,5.2434681244715905e-18,1.2584323498731817e-16,-0.2529780277928262,-0.2529780277928262
balanced_accuracy,SEMI,PLANKSTER,80,80,1556.0,0.626039765128232,approx(pratt),1.0,,80,35,0.31430657986393706,1.0,-0.016559960088968317,-0.016559960088968317
balanced_accuracy,SEMI,PORED2,77,77,24.0,1.5928130461055663e-14,approx(pratt),5.256283052148369e-13,***,77,2,3.975760896174872e-20,1.152970659890713e-18,-0.15237801010700336,-0.15237801010700336
balanced_accuracy,SEMI,SAMJ,78,78,87.0,1.443233948271314e-13,approx(pratt),3.608084870678285e-12,***,78,6,1.8493658649069896e-15,4.068604902795377e-14,-0.22550856924478924,-0.22550856924478924
balanced_accuracy,SEMI,UNET,80,80,1502.0,0.4583561925321944,approx(pratt),1.0,,80,45,0.31430657986393706,1.0,0.014790515653775427,0.014790515653775427
accuracy,ILASTIK,60%,81,81,639.5,1.548953029931142e-06,approx(pratt),3.407696665848512e-05,***,81,24,0.0003173169180222807,0.004759753770334211,-0.0947265625,-0.0947265625
accuracy,ILASTIK,FREEHAND,78,78,313.0,2.480631491142848e-10,approx(pratt),8.186083920771398e-09,***,78,6,1.8493658649069896e-15,6.842653700155862e-14,-0.164306640625,-0.164306640625
accuracy,ILASTIK,OTSU,81,81,88.0,1.3471718360329738e-13,approx(pratt),5.253970160528598e-12,***,81,76,2.2643223890053103e-17,8.83085731712071e-16,0.3291015625,0.3291015625
accuracy,ILASTIK,OVAL,79,79,316.0,2.599223525198906e-10,approx(pratt),8.317515280636499e-09,***,79,72,1.059068672061396e-14,3.706740352214886e-13,0.145263671875,0.145263671875
accuracy,ILASTIK,PLANKSTER,81,81,1190.5,0.02706593745680417,approx(pratt),0.1894615621976292,,81,50,0.04482852238579864,0.40345670147218776,0.013671875,0.013671875
accuracy,ILASTIK,PORED2,81,81,49.5,3.3841667739313164e-14,approx(pratt),1.421350045051153e-12,***,81,78,7.332294385792548e-20,3.07956364203287e-18,0.23046875,0.23046875
accuracy,ILASTIK,SAMJ,77,77,331.0,4.5385358652962165e-10,approx(pratt),1.4069461182418271e-08,***,77,70,3.5245694262351566e-14,1.1983536049199533e-12,0.078125,0.078125
accuracy,ILASTIK,SEMI,80,80,952.0,0.0008648929106923536,approx(pratt),0.01210850074969295,*,80,50,0.03299261842647619,0.3629188026912381,0.034912109375,0.034912109375
accuracy,ILASTIK,UNET,81,81,417.5,4.913372750379711e-09,approx(pratt),1.375744370106319e-07,***,81,62,1.7730682926908962e-06,4.255363902458151e-05,0.07421875,0.07421875
